file_path,bias
../../dataset/bffhq/0.5pct/align/1/63741_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/58259_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/33480_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/02394_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/62811_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/16274_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/40035_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/15272_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/40206_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/13354_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/23046_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/24197_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/13510_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/63650_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/23452_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/65365_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/13529_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/27327_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/01788_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/07130_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/23726_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/14851_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/37687_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/38961_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/06545_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/44084_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/01545_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/00911_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/21226_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/22247_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/66845_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/42717_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/54833_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/35273_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/02534_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/18220_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/30410_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/33744_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/67245_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/51531_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/46068_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/19941_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/16527_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/35463_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/32954_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/15774_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/14585_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/10421_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/33226_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/27454_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/21709_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/00256_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/35543_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/42577_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/35078_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/52795_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/27857_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/57966_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/02919_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/08152_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/24453_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/02593_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/00218_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/09013_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/47745_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/44975_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/67042_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/58549_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/03861_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/50076_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/43766_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/26523_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/33026_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/66935_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/25386_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/16226_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/54444_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/11775_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/11613_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/04485_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/08985_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/50252_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/37629_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/55418_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/38114_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/45801_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/19669_1_1.png,1
../../dataset/bffhq/0.5pct/align/1/17805_1_1.png,1
